# Thorlabs protected aluminum coating (-G01), 12 deg AOI, unpolarized
# Source: thorlabs_protected_aluminum_coating.xlsx
wavelength_nm,reflectance
4289,0.97460
4299,0.97453
4309,0.97446
4319,0.97439
4329,0.97432
4339,0.97425
4349,0.97418
4359,0.97411
4369,0.97404
4379,0.97396
4389,0.97389
4399,0.97382
4409,0.97374
4419,0.97367
4429,0.97359
4439,0.97352
4449,0.97345
4459,0.97337
4469,0.97329
4479,0.97322
4489,0.97314
4499,0.97306
4509,0.97298
4519,0.97291
4529,0.97283
4539,0.97275
4549,0.97267
4559,0.97259
4569,0.97251
4579,0.97243
4588,0.97235
4599,0.97227
4609,0.97219
4619,0.97211
4628,0.97203
4639,0.97195
4648,0.97187
4659,0.97179
4668,0.97171
4679,0.97162
4688,0.97154
4699,0.97146
4709,0.97138
4718,0.97129
4728,0.97121
4739,0.97113
4749,0.97104
4758,0.97096
4768,0.97088
4778,0.97079
4788,0.97071
4798,0.97063
4808,0.97054
4818,0.97046
4829,0.97037
4838,0.97029
4848,0.97021
4858,0.97012
4868,0.97004
4878,0.96995
4888,0.96987
4898,0.96978
4908,0.96970
4918,0.96962
4928,0.96953
4938,0.96945
4948,0.96936
4958,0.96928
4968,0.96919
4978,0.96911
4988,0.96902
4998,0.96894
5009,0.96885
5018,0.96877
5028,0.96868
5038,0.96860
5049,0.96851
5058,0.96843
5068,0.96835
5078,0.96826
5089,0.96817
5098,0.96809
5108,0.96801
5118,0.96792
5129,0.96784
5138,0.96775
5148,0.96767
5158,0.96759
5169,0.96750
5178,0.96742
5188,0.96734
5198,0.96725
5208,0.96717
5218,0.96708
5228,0.96700
5238,0.96692
5248,0.96683
5258,0.96675
5268,0.96667
5279,0.96658
5288,0.96650
5298,0.96642
5308,0.96634
5318,0.96626
5328,0.96618
5338,0.96610
5348,0.96602
5358,0.96593
5368,0.96585
5378,0.96577
5388,0.96569
5398,0.96561
5408,0.96553
5418,0.96545
5428,0.96537
5438,0.96529
5448,0.96521
5458,0.96513
5468,0.96505
5478,0.96498
5488,0.96489
5498,0.96482
5508,0.96474
5518,0.96466
5528,0.96458
5538,0.96451
5548,0.96443
5558,0.96435
5568,0.96428
5578,0.96420
5588,0.96412
5598,0.96405
5608,0.96397
5618,0.96389
5628,0.96382
5638,0.96375
5648,0.96367
5658,0.96360
5668,0.96352
5678,0.96345
5688,0.96338
5698,0.96330
5708,0.96323
5718,0.96316
5728,0.96309
5738,0.96301
5748,0.96294
5758,0.96287
5768,0.96280
5778,0.96273
5788,0.96266
5798,0.96259
5808,0.96252
5818,0.96245
5828,0.96238
5838,0.96231
5847,0.96224
5858,0.96217
5868,0.96211
5878,0.96204
5888,0.96197
5898,0.96191
5908,0.96184
5918,0.96177
5927,0.96171
5938,0.96164
5948,0.96158
5958,0.96151
5968,0.96144
5978,0.96138
5988,0.96132
5998,0.96125
6008,0.96119
6018,0.96113
6028,0.96107
6038,0.96100
6048,0.96094
6057,0.96088
6068,0.96082
6078,0.96076
6088,0.96070
6098,0.96064
6108,0.96058
6118,0.96052
6127,0.96046
6138,0.96040
6148,0.96034
6158,0.96028
6168,0.96023
6177,0.96017
6188,0.96011
6197,0.96006
6208,0.96000
6218,0.95995
6228,0.95989
6238,0.95983
6247,0.95978
6258,0.95973
6267,0.95967
6278,0.95962
6288,0.95957
6298,0.95951
6308,0.95946
6317,0.95941
6328,0.95936
6337,0.95931
6348,0.95926
6357,0.95921
6368,0.95916
6377,0.95911
6388,0.95906
6397,0.95901
6408,0.95896
6418,0.95891
6427,0.95887
6438,0.95882
6447,0.95877
6458,0.95872
6467,0.95868
6478,0.95863
6487,0.95859
6498,0.95854
6507,0.95850
6518,0.95845
6527,0.95841
6538,0.95836
6547,0.95832
6558,0.95828
6567,0.95824
6578,0.95820
6587,0.95816
6598,0.95811
6607,0.95807
6618,0.95803
6627,0.95799
6638,0.95795
6647,0.95791
6658,0.95787
6667,0.95784
6678,0.95780
6687,0.95776
6698,0.95772
6707,0.95769
6717,0.95765
6727,0.95762
6737,0.95758
6747,0.95754
6757,0.95751
6767,0.95747
6777,0.95744
6788,0.95740
6797,0.95737
6808,0.95734
6817,0.95731
6828,0.95727
6837,0.95724
6847,0.95721
6857,0.95718
6867,0.95715
6877,0.95712
6887,0.95709
6898,0.95706
6907,0.95703
6917,0.95700
6927,0.95697
6937,0.95694
6947,0.95692
6957,0.95689
6968,0.95686
6977,0.95683
6987,0.95681
6997,0.95678
7007,0.95676
7017,0.95673
7027,0.95671
7037,0.95668
7047,0.95666
7057,0.95663
7067,0.95661
7077,0.95659
7087,0.95656
7097,0.95654
7107,0.95652
7117,0.95650
7127,0.95648
7137,0.95645
7147,0.95644
7157,0.95641
7167,0.95639
7177,0.95638
7187,0.95636
7197,0.95634
7207,0.95632
7217,0.95630
7227,0.95628
7237,0.95626
7247,0.95625
7257,0.95623
7267,0.95621
7277,0.95620
7287,0.95618
7297,0.95617
7307,0.95615
7317,0.95614
7327,0.95612
7337,0.95611
7347,0.95609
7357,0.95608
7367,0.95607
7377,0.95605
7387,0.95604
7397,0.95603
7407,0.95602
7417,0.95600
7427,0.95599
7437,0.95598
7447,0.95597
7457,0.95596
7467,0.95595
7477,0.95594
7487,0.95593
7497,0.95592
7507,0.95591
7517,0.95590
7527,0.95590
7537,0.95589
7547,0.95588
7557,0.95587
7567,0.95587
7577,0.95586
7587,0.95585
7597,0.95585
7607,0.95584
7617,0.95583
7627,0.95583
7637,0.95582
7647,0.95582
7657,0.95581
7667,0.95581
7677,0.95581
7687,0.95580
7697,0.95580
7707,0.95579
7717,0.95579
7727,0.95579
7737,0.95579
7747,0.95578
7757,0.95578
7767,0.95578
7777,0.95578
7787,0.95578
7797,0.95578
7807,0.95578
7817,0.95578
7826,0.95578
7837,0.95578
7847,0.95578
7857,0.95578
7867,0.95578
7876,0.95578
7887,0.95578
7897,0.95578
7907,0.95578
7916,0.95578
7926,0.95579
7937,0.95579
7947,0.95579
7957,0.95579
7967,0.95580
7976,0.95580
7987,0.95580
7997,0.95581
8007,0.95581
8017,0.95581
8026,0.95582
8036,0.95582
8047,0.95583
8057,0.95583
8067,0.95584
8077,0.95584
8086,0.95585
8096,0.95585
8107,0.95586
8117,0.95587
8127,0.95587
8137,0.95588
8147,0.95589
8156,0.95589
8166,0.95590
8177,0.95591
8187,0.95591
8197,0.95592
8207,0.95593
8217,0.95594
8226,0.95594
8236,0.95595
8246,0.95596
8256,0.95597
8267,0.95598
8277,0.95599
8287,0.95600
8297,0.95600
8307,0.95601
8316,0.95602
8326,0.95603
8336,0.95604
8346,0.95605
8356,0.95606
8366,0.95607
8377,0.95608
8387,0.95609
8397,0.95610
8407,0.95611
8417,0.95612
8427,0.95614
8436,0.95615
8446,0.95616
8456,0.95617
8466,0.95618
8476,0.95619
8486,0.95620
8496,0.95621
8506,0.95623
8516,0.95624
8526,0.95625
8536,0.95626
8546,0.95627
8556,0.95629
8566,0.95630
8576,0.95631
8586,0.95632
8596,0.95634
8606,0.95635
8616,0.95636
8626,0.95637
8636,0.95639
8646,0.95640
8656,0.95641
8666,0.95643
8676,0.95644
8686,0.95645
8696,0.95647
8706,0.95648
8716,0.95649
8726,0.95651
8736,0.95652
8746,0.95654
8756,0.95655
8766,0.95656
8776,0.95658
8786,0.95659
8796,0.95660
8806,0.95662
8816,0.95663
8826,0.95665
8836,0.95666
8846,0.95667
8856,0.95669
8866,0.95670
8876,0.95672
8886,0.95673
8897,0.95675
8906,0.95676
8916,0.95678
8926,0.95679
8936,0.95680
8946,0.95682
8956,0.95683
8966,0.95685
8976,0.95686
8986,0.95688
8996,0.95689
9006,0.95691
9016,0.95692
9026,0.95694
9036,0.95695
9046,0.95696
9056,0.95698
9066,0.95699
9076,0.95701
9086,0.95702
9096,0.95704
9106,0.95705
9116,0.95707
9126,0.95708
9136,0.95709
9146,0.95711
9156,0.95712
9166,0.95714
9176,0.95715
9186,0.95717
9196,0.95718
9206,0.95719
9216,0.95721
9226,0.95722
9236,0.95724
9246,0.95725
9256,0.95727
9266,0.95728
9276,0.95729
9286,0.95731
9296,0.95732
9306,0.95733
9316,0.95735
9326,0.95736
9336,0.95738
9346,0.95739
9356,0.95740
9366,0.95742
9376,0.95743
9386,0.95744
9396,0.95746
9406,0.95747
9416,0.95748
9426,0.95750
9436,0.95751
9446,0.95752
9456,0.95753
9466,0.95755
9476,0.95756
9486,0.95757
9496,0.95758
9506,0.95760
9516,0.95761
9526,0.95762
9536,0.95763
9546,0.95765
9556,0.95766
9566,0.95767
9575,0.95768
9586,0.95769
9596,0.95770
9606,0.95772
9616,0.95773
9626,0.95774
9636,0.95775
9646,0.95776
9656,0.95777
9666,0.95778
9675,0.95779
9686,0.95780
9696,0.95781
9705,0.95782
9716,0.95783
9726,0.95784
9735,0.95785
9746,0.95786
9756,0.95787
9766,0.95788
9776,0.95789
9786,0.95790
9796,0.95791
9806,0.95792
